,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
30,gp:AOqpTOEgtfwbkwFHS62HUuyf6ygMTEJWo2KWh-PT7kEsfmcqXlQiKfvYiGpwLppDqzBQu6iC_7WNVa7PjLTQZg,Eugene Lastofavari,https://lh3.googleusercontent.com/a-/AOh14GgrOhslTJT_1BatsEJrROyTaaYoPAyqzhFcECzwGQ,Extremely low resolution when importing images.,1,0,2.4.1,2020-04-24 21:12:57,,
31,gp:AOqpTOG2v-S9MapAqWBUFA1bPOZRWHwqTUm_W-kIFJeYxdrY15WMZFO6-B5fK4XLxJaGQrkNsZlPlqdcoWTOVQ,Ferdinand Cesarano,https://lh3.googleusercontent.com/a-/AOh14Gh3yc7qlzG2-1RXv7rLyi_-vMwgXKNfzt_qnIjuCg,"There is a new bug in this app. The ""fill"" function crashes it every time, rendering it useless. EDIT: I downloaded the latest version, and that bug seems to have been fixed. Thanks.",2,3,2.1.1,2018-09-30 02:49:57,Please try the new version.,2018-09-27 20:11:41
32,gp:AOqpTOFMogZsVCv42qd08V83wWpg-CEYKDONjMF69y4-o48pr20QcwhlzEt7gMLi09VQBlNb0n5p-53zElmYNw,Daniel Fitzgerald,https://lh3.googleusercontent.com/a-/AOh14GiLX3HPBNtAke_CiNfp-7NlZzZxIpxY1wIR6pln,"No ads (that I saw after using it for 5 min). No instructions, so you need to figure it out by trial and error. Which I guess is why some people have given it 1 star.",5,6,2.2.0,2019-02-19 10:07:17,,
33,gp:AOqpTOFIKfNp95IBhiWyM9jmQHENUowes20wSHZAaQBl_iw45JtS8CCcw6Mjm2lctjU6nWJWvHYncxhCCXuA8w,アルカヨスノエル,https://lh3.googleusercontent.com/a-/AOh14GhcC3x42T70sifC6xftcF40huraBO_H8548FleC,Just what I'm looking for. MS Paint-like app. It also has no ads.,5,2,2.4.1,2019-12-26 00:42:59,,
34,gp:AOqpTOGqXrnRM4g_zsPQLJHmAatlgyPCJqMckDKJvR2cZ5-xJAsDia8T9ZDOklFHnaLt02TqOVyRW4VkEcjV5w,Afiq Ghost,https://lh3.googleusercontent.com/a-/AOh14GglW2-N7rQBR-eatxr512L9J43dl_UpXf9SrHVsSA,"The best app ever , no ads just free. You guys are the best",5,2,2.4.1,2020-05-04 11:17:25,,
35,gp:AOqpTOEH6TPeW4y3MKoMhu1S9mvg8iyVVymOTrB7vYBnSL1vBtDpgyAcrHYA_nv9Oh90-W_LxtWBTHDhAq0JXA,Nathan,https://lh3.googleusercontent.com/a-/AOh14GhGmDBBbZks06D2aYuDZvwxS3rDtjXUjv8XTKIWXio,"For whatever reason it just refuses to import large images. It dropped a 5045x3232 image to 1262x808 with no way of importing the original size. It sucks cause it's such a great quick editing app, that has the paint bucket I've been looking for.",1,4,2.4.1,2019-10-09 11:54:43,,
36,gp:AOqpTOHgnW_uGFdUmXWfxGYxduBMYHQ1_pJF8XIPY-AXLrUjJxS9Ly4hrdXRgALfRPVuB_H5BTqqhzKXTve51Q,Stephen Killingsworth Jr.,https://lh3.googleusercontent.com/a-/AOh14Gg8v6ITCBzmydyRCqRP-Fi3BB6I_WcDqS-e73O3nw,"Exactly what I needed, no ads. needed a crop tool that wouldn't try to sell me something and that's exactly what this gave me. haven't used the other features yet.",5,19,2.4.0,2019-06-07 17:06:37,,
37,gp:AOqpTOEH4KL5RMpsOwJQetbyYviIHjQFtkSkbEIYEMnwuJEaeKrASe17cYimnWNAZ66guF7kdDakVusjjCk7dg,Andrea Luna,https://lh3.googleusercontent.com/a-/AOh14GjusACiF-NzzCCydb96Q6xsx7xYCltPtoNNKPt4,Easy to edit small things for your drawings but still kinda tricky to the use tools.,4,2,2.4.1,2020-01-31 22:37:33,,
38,gp:AOqpTOFYpMidObM75MExzyNAglC6jqIz2SOw-aJs0WFocn46W54p3AeeJ3LokQi_y1qEbO0QxTGswabd_ynvyA,Pen x Pencil shirt,https://lh3.googleusercontent.com/a-/AOh14Gih6030muh59tUj-XZbAi8ErE_u5quVg8jA3UJpfe0,Ok. This is better than pocket code. Its works perfectly!,5,2,2.4.1,2020-04-20 00:40:57,,
39,gp:AOqpTOEtAahuF9h_mZqCXKwfaRdulqUDcfm1JUqEQQsvvKGFtuARUYoBo9mzp_9MJoWsT-hbgX6rOq5KakNZQA,Viv,https://lh3.googleusercontent.com/a-/AOh14GiQoiWEKOsMgifm-kvvskOgBGwuU51ah7f9wXyFxw,"Very much like MS Paint, but for Android. Permissions are okay too. A little limited, but then, so was/is MS Paint. If you want Photoshop, this is the wrong app.",4,6,2.4.1,2019-11-15 09:40:47,,
